Unnamed: 0,Artist,Title,Album,Year,Date,Lyric,predicted_emotion,main_emotion
10,Billie Eilish,âbellyache,dont smile at me,2017.0,2017-02-24,mind mind   sittin' all alone mouth full of gum in the driveway my friends aren't far in the back of my car lay their bodies  pre where's my mind where's my mind   they'll be here pretty soon lookin' through my room for the money i'm bitin' my nails i'm too young to go to jail it's kinda funny  pre where's my mind where's my mind where's my mind where's my mind   maybe it's in the gutter where i left my lover what an expensive fake my v is for vendetta thought that i'd feel better but now i got a bellyache mind   everything i do the way i wear my noose like a necklace i wanna make 'em scared like i could be anywhere like i'm reckless  pre i lost my mind i don't mind where's my mind where's my mind   maybe it's in the gutter where i left my lover what an expensive fake my v is for vendetta thought that i'd feel better but now i got a bellyache bellyache bellyache bellyache bellyache bellyache bellyache maybe it's in the gutter where i left my lover what an expensive fake my v is for vendetta thought that i'd feel better but now i got a bellyache,Caring,Love
11,Billie Eilish,âyou should see me in a crown,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",2018.0,2018-07-18,bite my tongue bide my time wearing a warning sign wait 'til the world is mine visions i vandalize cold in my kingdom size fell for these ocean eyes   you should see me in a crown i'm gonna run this nothing town watch me make 'em bow one by one by one one by one by you should see me in a crown your silence is my favorite sound watch me make 'em bow one by one by one one by one by one   count my cards watch them fall blood on a marble wall i like the way they all scream tell me which one is worse living or dying first sleeping inside a hearse i don't dream   you say come over baby i think you're pretty i'm okay i'm not your baby if you think i'm pretty   you should see me in a crown i'm gonna run this nothing town watch me make 'em bow one by one by one one by one by you should see me in a crown your silence is my favorite sound watch me make 'em bow one by one by one one by one by one   break   crown i'm gonna run this nothing town watch me make 'em bow one by one by one one by one by you should see me in a crown you should see me see me your silence is my favorite sound you should see me see me watch me make 'em bow one by one by one one by one by one,Sadness,Sad
12,Billie Eilish,âmy future,BE2*,2020.0,2020-07-30,i can't seem to focus and you don't seem to notice i'm not here i'm just aâmirror youâcheck your complexion toâfind your reflection's all alone i hadâto go  pre can't you hear me i'm not comin' home do you understand i'veâchangedâmyâplans   'cause i i'mâin love with myâfuture can't wait to meet her and i i i'm in love but not with anybody else just wanna get to know myself   i know supposedly i'm lonely now lonely now know i'm supposed to be unhappy without someone someone but aren't i someone aren't i someone yeah i'd i'd like to be your answer be your answer 'cause you're so handsome you're so handsome  pre but i know better than to drive you home 'cause you'd invite me in and i'd be yours again   but i i i'm in love love love love love with my future and you don't know her ooh and i i'm in love love love but not with anybody here i'll see you in a couple years,Embarrassment,Calm
13,Billie Eilish,âall the good girls go to hell,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",2019.0,2019-03-29,my lucifer is lonely   standing there killing time can't commit to anything but a crime peter's on vacation an open invitation animals evidence pearly gates look more like a picket fence once you get inside 'em got friends but can't invite them  pre hills burn in california my turn to ignore ya don't say i didn't warn ya   all the good girls go to hell 'cause even god herself has enemies and once the water starts to rise and heaven's out of sight she'll want the devil on her team  post my lucifer is lonely   look at you needing me you know i'm not your friend without some greenery walk in wearin' fetters peter should know better your cover up is caving in man is such a fool why are we saving him poisoning themselves now begging for our help wow  pre hills burn in california my turn to ignore ya don't say i didn't warn ya   all the good girls go to hell all the good girls go to hell 'cause even god herself god herself has enemies and once the water starts to rise water starts to rise and heaven's out of sight she'll want the devil on her team  post my lucifer is lonely there's nothing left to save now my god is gonna owe me there's nothing left to save now   haha i cannot do the snowflake,Sadness,Sad
14,Billie Eilish,âxanny,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",2019.0,2019-03-29,what is it about them i must be missing something they just keep doing nothing too intoxicated to be scared better off without them they're nothing but unstable bring ashtrays to the table and that's about the only thing they share   i'm in their secondhand smoke still just drinking canned coke i don't need a xanny to feel better on designated drives home only one who's not stoned don't give me a xanny now or ever  interlude can you check your uber rating oh my god and it's like wait like when   wakin' up at sundown ooh they're late to every party ooh nobody's ever sorry ooh too inebriated now to dance morning as they come down come down their pretty heads are hurting hurting they're awfully bad at learning learning make the same mistakes blame circumstance   i'm in their secondhand smoke still just drinking canned coke i don't need a xanny to feel better on designated drives home only one who's not stoned don't give me a xanny now or ever   please don't try to kiss me on the sidewalk on your cigarette break i can't afford to love someone who isn't dying by mistake in silver lake   what is it about them i must be missing something they just keep doin' nothing too intoxicated to be scared hmm hmm hmm mmm mmm mmm mmm come down hurting learning,Relief,Calm
15,Billie Eilish,COPYCAT,dont smile at me,2017.0,2017-07-14,don't be cautious don't be kind you committed i'm your crime push my button anytime you got your finger on the trigger but your trigger finger's mine   silver dollar golden flame dirty water poison rain perfect murder take your aim i don't belong to anyone but everybody knows my name  pre by the way you've been uninvited 'cause all you say are all the same things i did   copycat tryna cop my manner watch your back when you can't watch mine copycat tryna cop my glamour why so sad bunny can't have mine   call me calloused call me cold you're italic i'm in bold call me cocky watch your tone you better love me 'cause you're just a clone  pre by the way you've been uninvited 'cause all you say are all the same things i did   copycat tryna cop my manner watch your back when you can't watch mine copycat tryna cop my glamour why so sad bunny can't have mine   mine i would hate to see you go hate to be the one that told you so you just crossed the line you've run out of time i'm so sorry now you know sorry i'm the one that told you so sorry sorry i'm sorry sorry psych  pre by the way you've been uninvited 'cause all you say are all the same things i did   copycat tryna cop my manner watch your back when you can't watch mine copycat tryna cop my glamour why so sad bunny can't have mine,Approval,Happy
16,Billie Eilish,âilomilo,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",2019.0,2019-03-29,told you not to worry but maybe that's a lie honey what's your hurry won't you stay inside remember not to get too close to stars they're never gonna give you love like ours   where did you go i should know but it's cold and i don't wanna be lonely so show me the way home i can't lose another life  refrain hurry i'm worried   the world's a little blurry or maybe it's my eyes the friends i've had to bury they keep me up at night said i couldn't love someone 'cause i might break if you're gonna die not by mistake   so where did you go i should know but it's cold and i don't wanna be lonely so tell me you'll come home even if it's just a lie   i tried not to upset you let you rescue me the day i met you i just wanted to protect you but now i'll never get to  refrain hurry i'm worried   where did you go i should know but it's cold and i don't wanna be lonely was hoping you'd come home i don't care if it's a lie,Caring,Love
17,Billie Eilish,âlisten before i go,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",2019.0,2019-03-29,take me to the rooftop i wanna see the world when i stop breathing turnin' blue tell me love is endless don't be so pretentious leave me like you do like you do  pre if you need me wanna see me better hurry 'cause i'm leavin' soon   sorry can't save me now sorry i don't know how sorry there's no way out sorry but down hmm down   taste me the salty tears on my cheek that's what a yearlong headache does to you i'm not okay i feel so scattered don't say i'm all that matters leave me dÃ©jÃ  vu hmm  pre if you need me wanna see me you better hurry i'm leavin' soon   sorry can't save me now sorry sorry i don't know how sorry sorry there's no way out sorry but down hmm down   call my friends and tell them that i love them and i'll miss them but i'm not sorry call my friends and tell them that i love them and i'll miss them sorry,Approval,Happy
18,Billie Eilish,âmy strange addiction,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",2019.0,2019-03-29,no billy i haven't done that dance since my wife died theres a whole crowd of people out there who need to learn how to do the scarn   don't ask questions you don't wanna know learned my lesson way too long ago to be talkin to you belladonna shoulda taken a break not an oxford comma take what i want when i wanna and i want ya  pre bad bad news one of us is gonna lose i'm the powder you're the fuse just add some friction   you are my strange addiction you are my strange addiction my doctors can't explain my symptoms or my pain but you are my strange addiction  interlude i'm really really sorry i think i was just relieved to see that michael scarn got his confidence back yeah michael the movie is amazing it's like one of the best movies i've ever seen in my life   deadly fever please don't ever break be my reliever cause i dont self medicate and it burns like a gin and i like it put your lips on my skin and you might ignite it hurts but i know how to hide it kinda like it teh  pre bad bad news one of us is gonna lose i'm the powder youre the fuse just add some friction   you are my strange addiction you are my strange addiction my doctors can't explain my symptoms or my pain but you are my strange addiction   bite my glass set myself on fire can't you tell i'm crass cant you tell i'm wired tell me nothing lasts like i don't know you could kiss my asking about my motto  interlude you should enter it in festivals or carnivals thoughts pretty good reaction pretty cool right   you are my strange addiction you are my strange addiction my doctors can't explain my symptoms or my pain but you are my strange addiction   did you like it did you like that um which part,Disapproval,Sad
19,Billie Eilish,âwatch,dont smile at me,2017.0,2017-06-30,lips meet teeth and tongue my heart skips eight beats at once if we were meant to be we would have been by now see what you wanna see but all i see is him right now   i'll sit and watch your car burn with the fire that you started in me but you never came back to ask it out go ahead and watch my heart burn with the fire that you started in me but i'll never let you back to put it out   your love feels so fake and my demands aren't high to make if i could get to sleep i would have slept by now your lies will never keep i think you need to blow 'em out   i'll sit and watch your car burn with the fire that you started in me but you never came back to ask it out go ahead and watch my heart burn with the fire that you started in me but i'll never let you back to put it out   when you call my name do you think i'll come runnin' you never did the same so good at givin' me nothin' when you close your eyes do you picture me when you fantasize am i your fantasy now you know now i'm free   i'll sit and watch your car burn with the fire that you started in me but you never came back to ask it out watch my heart burn with the fire that you started in me but i'll never let you back to put it out   never let you back let you back let you back never gonna let you back let you back,Sadness,Sad
20,Billie Eilish,âhostage,dont smile at me,2017.0,2017-08-11,i wanna be alone alone with you does that make sense i wanna steal your soul and hide you in my treasure chest i don't know what to do to do with your kiss on my neck i don't know what feels true but this feels right so stay a sec yeah you feel right so stay a sec   and let me crawl inside your veins i'll build a wall give you a ball and chain it's not like me to be so mean you're all i wanted just let me hold you like a hostage   gold on your fingertips fingertips against my cheek gold leaf across your lips kiss me until i can't speak gold chain beneath your shirt the shirt that you let me wear home gold's fake and real love hurts but nothing hurts when i'm alone when you're with me and we're alone   and let me crawl inside your veins i'll build a wall give you a ball and chain it's not like me to be so mean you're all i wanted just let me hold you hold you like a hostage like a hostage,Embarrassment,Calm
21,Billie Eilish,âmy boy,dont smile at me,2017.0,2017-07-28,three and four and babada babadabada mmm mmm   my boy's bein' sus he was shady enough but now he's just a shadow my boy loves his friends like i love my split ends and by that i mean he cuts 'em off what   my boy my boy my boy don't love me like he promised my boy my boy my boy he ain't a man and sure as hell ain't honest   my boy's bein' sus and he don't know how to cuss he just sounds like he's tryna be his father who are you my boy's an ugly crier but he's such a pretty liar and by that i mean he said he'd change   my boy my boy my boy don't love me like he promised my boy my boy my boy he ain't a man and sure as hell ain't honest   my boy mymy boy my friends i lovelove ii lovelove my split ends my boy love love love love love love mymy boy love love love love love love my boy my love love love love love love love love alright dude go trip over a knife   my boy my boy my boy don't love me like he promised my boy my boy my boy he ain't a man and sure as hell ain't honest   you want me to be yours well then you gotta be mine and if you want a good girl then goodbye you want me to be yours well then you gotta be mine and if you want a good girl then goodbye,Embarrassment,Calm
22,Billie Eilish,Six Feet Under,,2016.0,2016-11-17,help i lost myself again but i remember you don't come back it won't end well but i wish you'd tell me to   our love is six feet under i can't help but wonder if our grave was watered by the rain would roses bloom could roses bloom again   retrace my lips erase your touch it's all too much for me blow away like smoke in air how can you die carelessly   our love is six feet under i can't help but wonder if our grave was watered by the rain would roses bloom could roses bloom   they're playin' our sound layin' us down tonight and all of these clouds crying us back to life but you're cold as a knife   six feet under i can't help but wonder if our grave was watered by the rain bloom bloom again   help i lost myself again but i remember you,Relief,Calm
23,Billie Eilish,8,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",2019.0,2019-03-29,wait a minute let me finish i know you don't care but can you listen i came committed guess i overdid it wore my heart out on a chain around my neck but now it's missin' hmm  refrain dadadadadada hmm dadadadadadada hmm hmm hmm hmm oh hmm hmm   so i think i better go i never really know how to please you you're lookin' at me like i'm seethrough i guess i'm gonna go i just never know how you feel do you even feel anything  refrain dadadadadadada dadadadadadada oh hmm hmm   you said don't treat me badly but you said it so sadly so i did the best i could not thinkin' you would have left me gladly i know you're not sorry why should you be 'cause who am i to be in love when your love never is for me me  refrain dadadadadadada hmm dadadadadadada hmm hmm hmm hmm oh hmm hmm   so i think i better go i never really know how to please you you're lookin' at me like i'm seethrough i guess i'm gonna go i just never know how you feel do you even feel anything,Relief,Calm
24,Billie Eilish,âbitches broken hearts,dont smile at me (Japanese Import),2017.0,2017-11-10,you can pretend you don't miss me me you can pretend you don't care all you wanna do is kiss me me oh what a shame i'm not there you can pretend you don't miss me me you can pretend you don't care all you wanna do is kiss me me well what a shame i'm not there   what is it you want you can lie but i know that you're not fine every time you talk it's all 'bout me but you swear i'm not on your mind   you can pretend you don't miss me me you can pretend you don't care all you wanna do is kiss me me oh what a shame i'm not there   everybody knows you and i are suicide and stolen art art pretty mama sews stitches into all your bitches broken hearts   you can pretend you don't miss me me you can pretend you don't care all you wanna do is kiss me me oh what a shame i'm not there   somebody new is gonna comfort you like you want me to somebody new is gonna comfort me like you never do   every now and then it hits me that i'm the one that got away but i guess being lonely fits me and you were made for begging stay,Curiosity,Energetic
25,Billie Eilish,ââcome out and play,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",2018.0,2018-11-20,hmmmm   wake up and smell the coffee is your cup half full or empty when we talk you say it softly but i love it when you're awfully quiet hmmmm quiet hmmmm  pre you see the piece of paper could be a little greater show me what you could make her you'll never know until you try it hmmmm and you don't have to keep it quiet   and i know it makes you nervous but i promise you it's worth it to show 'em everything you kept inside don't hide don't hide too shy to say but i hope you stay don't hide away come out and play   look up out of your window see snow won't let it in though leave home feel the wind blow 'cause it's colder here inside in silence and you don't have to keep it quiet   yeah i know it makes you nervous but i promise you it's worth it to show 'em everything you kept inside don't hide don't hide too shy to say but i hope you stay don't hide away come out and play,Approval,Happy
26,Billie Eilish,ââparty favor,dont smile at me,2017.0,2017-08-11,hey leave a message   hey call me back when ya get this or when you've got a minute we really need to talk wait you know what maybe just forget it 'cause by the time you get this your number might be blocked  pre stay and blah blah blah you just want what you can't have no way i'll call the cops if you don't stop i'll call your dad   and i hate to do this to you on your birthday happy birthday by the way it's not you it's me and all that other bullshit you know that's bullshit don'tcha babe i'm not your party favor   look now i know we coulda done it better but we can't change the weather when the weather's come and gone books don't make sense if you read 'em backwards you'll single out the wrong words like you mishear all my songs  pre you'll hear stay and blah blah blah you just want what you can't have no way i'll call the cops if you don't stop i'll call your dad   and i hate to do this to you on your birthday happy birthday by the way it's not you it's me and all that other bullshit you know that's bullshit don'tcha babe i'm not your party favor,Anger,Energetic
27,Billie Eilish,6.18.18*,Unreleased Songs,2018.0,2018-12-17,our time is up your eyes are shut i won't get to tell you what i needed you to know it's dark enough the moonlight doesn't show and all my love could never bring you home   there's no more stars to find and i'm too far behind and i'd love to let you go i'd love to let you go you're all that's on my mind i called a thousand times and i have to let you go but i love you more and more than you could know   i sat alone awaited your reply was driven home when i started to cry i should've known i should've said goodbye i only hoped i would've had more time   there's no more stars to find and i'm too far behind and i'd love to let you go i'd love to let you go you're always on my mind when i called a thousand times and i have to let you go but i love you more and more than you could knowoh   ohuhuhuhuhuhuhuh dadadadada dadarada we're both too young to live and die this way a sunny summer day with so much left to say not  the 8th out of pain the day you couldn't stay you made me wanna pray but i think god's fake   there's no more stars to find and i'm too far behind and i'd love to let you go i'd love to let you go you're all that's on my mind when i called a thousand times and i have to let you go but i love you more and more and more and more and more more and more more and more and more than you will ever know you will never know you will never know,Embarrassment,Calm
28,Billie Eilish,âgoodbye,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",2019.0,2019-03-29,please please don't leave me be  verse it's not true take me to the rooftop told you not to worry what do you want from me don't ask questions wait a minute don't you know i'm no good for you baby i don't feel so good and all the good girls go to hell bite my tongue bide my time what is it about them i'm the bad guy,Approval,Happy
29,Billie Eilish,Bored,13 Reasons Why (Season 1),2017.0,2017-03-30,aah aah   the games you played were never fun you'd say you'd stay but then you'd run aah  pre giving you what you're begging for giving you what you say i need i don't want any settled scores i just want you to set me free giving you what you're begging for giving you what you say i need say i need   i'm not afraid anymore what makes you sure you're all i need i need forget about it when you walk out the door and leave me torn you're teaching me to live without it bored i'm so bored i'm so bored so bored   i'm home alone you're godknowswhere i hope you don't think that shit's fair aah  pre giving you all you want and more giving you every piece of me i don't want love i can't afford i just want you to love for free can't you see that i'm getting bored giving you every piece of me piece of me   i'm not afraid anymore what makes you sure you're all i need forget about it when you walk out the door and leave me torn you're teaching me to live without it bored i'm so bored i'm so bored so bored  pre giving you what you're begging for giving you what you say i need i don't want any settled scores i just want you to set me free giving you what you're begging for giving you what you say i need say i need   i'm not afraid anymore what makes you sure you're all i need forget about it and when you walk out the door and leave me torn you're teaching me to live without it,Caring,Love
30,Billie Eilish,âocean eyes (blackbear Remix),Ocean Eyes (The Remixes) - EP,2017.0,2017-01-13,billie eilish i've been watching you for some time can't stop staring at those ocean eyes burning cities and napalm skies fifteen flares inside those ocean eyes your ocean eyes   billie eilish no fair you really know how to make me cry when you give me those ocean eyes i'm scared i've never fallen from quite this high falling into your ocean eyes those ocean eyes   blackbear yeah yeaheaheah i ain't really trippin' if you wanna go i know i made you cry last year when i was on the road i meant it when i said it you can always hit my phone  6799 girl you knowowow i'ma make this fetty oohoohoohooh i never would forget you oohoohoohooh look me in my eyes tell me you ain't a part of me no fair   billie eilish  blackbear  both no fair yeah yeaheaheah you really know how to make me cry when you give me those ocean eyes i'm scared girl i'm scared i've never fallen from quite this high falling into your ocean eyes those ocean eyes ocean eyes no fair no fair no fair you really know how to make me cry know how to make me cry when you give me those ocean eyes those ocean eyes i'm scared i'm scared i've never fallen from quite this high falling into your ocean eyes   billie eilish no fair you really know how to make me cry when you give me those ocean eyes i'm scared i've never fallen from quite this high falling into your ocean eyes those ocean eyes,Caring,Love
31,Billie Eilish,WHEN I WAS OLDER,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO? (Japanese Import)",2019.0,2019-01-09,when i was older i was a sailor on an open sea but now i'm underwater and my skin is paler than it should ever be hmm  verse i'm on my back again dreaming of a time and place where you and i remain the best of friends even after all this ends can we pretend i'm on my i'm on my back again it's seeming more and more like all we ever do is see how far it bends before it breaks in half and then we bend it back again  pre guess i got caught in the middle of it yes i've been taught got a little of it in my blood in my blood memories burn like a forest fire heavy rain turns any funeral pyre to mud in the flood   when i was older i was a sailor on an open sea but now i'm underwater and my skin is paler than it should ever be   i'm watching movies back to back in black and white i never seen anybody do it like i do it any better been goin' over you i'm overdue for new endeavors nobody lonely like i'm lonely and i don't know whether you'd really like it in the limelight you'd sympathize with all the bad guys i'm still a victim in my own right but i'm the villain in my own eyes yeah   when i was older i was a sailor on an open sea,Relief,Calm
